"dataset","method","method_family","tuning","mode","p_reduced","tv_mean","tv_se","fkl_mean","fkl_se","rkl_mean","rkl_se","q0_mean","q0_se","expected_code_mean","expected_code_se","active_kernels_001_mean","active_kernels_001_se","q_effective_kernels_mean","q_effective_kernels_se","stored_atoms_mean","stored_atoms_se","rmse_gap_mean","rmse_gap_se","logscore_gap_mean","logscore_gap_se","kkt_residual_mean","kkt_residual_se","runtime_sec_mean","runtime_sec_se","reference_support_n95_mean","reference_support_n95_se","n_replications"
"gasoline","Posterior clustering","posterior clustering","clusters=10, beta=0.02","full",12,0.073089874540025,0.00607648411844078,0.0207458292005353,0.00217158116310496,0.0195339796667162,0.0020395164600941,0.152562557425726,0.0470516327469206,7.4701947269968,0.116253104576074,17.4,0.4,9.85035317153443,0.61878726437982,NA,NA,-0.000336117521075002,0.000245455650570319,-0.000457404516872023,0.000439615811990401,0.0426191673505273,0.00203086801963011,NA,NA,264,22.1788187241792,5
"tecator","Posterior clustering","posterior clustering","clusters=10, beta=0.02","full",12,0.0581746258232459,0.00376527111319595,0.0134520699857574,0.00129550434909213,0.0127283036617608,0.0012676701529646,0.311701214887063,0.0680788420468963,8.82061574702643,0.146141134889336,15.8,0.58309518948453,8.67868211156469,0.592709858775373,NA,NA,-0.00398640530587926,0.00133680652140658,0.000802093667879866,0.000238849240203363,0.0285952595783752,0.00345416577557663,NA,NA,308,22.7771815640127,5
"gasoline","Posterior clustering","posterior clustering","clusters=10, beta=0.08","full",12,0.125987695913975,0.00602867253132312,0.0547910976034015,0.00407795902962036,0.0494930470245211,0.00333947024006902,0.001,4.84869951806108e-20,6.45412641065234,0.0582870379830263,14.8,0.734846922834953,6.67914832079058,0.36354413159246,NA,NA,-0.000747159785178231,0.000732165496979385,-0.00175795424058308,0.00106511759136726,0.0909877008497963,0.00271720868856335,NA,NA,264,22.1788187241792,5
"tecator","Posterior clustering","posterior clustering","clusters=10, beta=0.08","full",12,0.138713161064534,0.00530377418740246,0.0673157236950636,0.00444031223557872,0.0642139396647337,0.00336866234894488,0.041682047568348,0.0204920956934981,7.65168849956317,0.117434201911333,15.4,0.509901951359279,10.1672786259931,1.13277571409263,NA,NA,-0.00479142010210278,0.00351058689773532,0.000770317420489164,0.000606200568063611,0.0547956739199437,0.0138582257163614,NA,NA,308,22.7771815640127,5
"gasoline","Posterior clustering","posterior clustering","clusters=6, beta=0.02","full",12,0.0757787592314061,0.00310158397771198,0.0189585318573076,0.00167844309144045,0.0181545656893353,0.00170049686823205,0.489651304420989,0.0581278756914612,8.1031943000092,0.185945717820504,11.8,0.2,5.00098219785494,0.529392964748019,NA,NA,0.00100998283795642,0.000709058839086906,-0.00207574194295162,0.000923385753914195,0.0410438564217652,0.00331746859797905,NA,NA,264,22.1788187241792,5
"tecator","Posterior clustering","posterior clustering","clusters=6, beta=0.02","full",12,0.0526009616081569,0.00157119195951437,0.00897165938248467,0.000909128361184001,0.00880061258815223,0.000833022484011581,0.569531772678123,0.117367250306192,9.18592103555137,0.190112550502992,10.2,0.489897948556636,4.21319749375634,0.813377724912975,NA,NA,-0.00349824716385143,0.0015223316910523,0.00065004246291851,0.000225991617525562,0.0236172751179927,0.00363259721411668,NA,NA,308,22.7771815640127,5
"gasoline","Posterior clustering","posterior clustering","clusters=6, beta=0.08","full",12,0.174726784645096,0.0178622176438052,0.107662172273699,0.0153922028521213,0.0926227648782752,0.0135470378911607,0.0288738142885838,0.0137240372305488,5.83309698453222,0.329850551657762,8.6,1.12249721603218,3.70186143690513,0.609958146487829,NA,NA,0.00155626672776855,0.00125525629268102,-0.00519345060577343,0.00195294785839856,0.129407492889803,0.014887269079551,NA,NA,264,22.1788187241792,5
"tecator","Posterior clustering","posterior clustering","clusters=6, beta=0.08","full",12,0.149272450811318,0.0030688767471464,0.0685835785341926,0.00333649355615627,0.0687102165768389,0.00227285144422004,0.234786704999441,0.0703702405908916,7.95822226738013,0.216576565260752,10.2,0.489897948556636,6.48364475002872,0.599680339103411,NA,NA,-0.00812484415961867,0.0062437840355985,0.00124264066949085,0.00099785604381118,0.0500235290785309,0.0172311029217623,NA,NA,308,22.7771815640127,5
"gasoline","Credible support set","credible support summary","coverage=0.9, beta=0.02","full",12,0.0903095267072418,0.000121798234590671,0.1472072950863,0.000238164494236262,0.0729223136220152,0.000115367430147631,0.0979419143193484,0.000200693161139865,17.7356653274091,0.112665769835627,120.6,5.16333225737023,47.0702705418162,5.31037379192018,147.6,14.7803924169827,0.00117920162920467,0.00055302934464318,0.000777552337361914,0.000538074203296371,0.00884562401971922,0.000317952185415217,NA,NA,264,22.1788187241792,5
"tecator","Credible support set","credible support summary","coverage=0.9, beta=0.02","full",12,0.0908479147795072,0.000101939327776265,0.145782806734616,0.000383162297534933,0.0727961903121127,6.80777094145122e-05,0.0996169279132468,0.000549985953282647,18.6298820645374,0.25223835571541,141.6,9.25526876973327,60.2915270276092,6.85700194087514,195.8,17.3072239252862,-0.00729515822055316,0.001675599361265,0.00129865810842631,0.00018619914773006,0.00906655142664445,0.00106028509932025,NA,NA,308,22.7771815640127,5
"gasoline","Credible support set","credible support summary","coverage=0.9, beta=0.08","full",12,0.136950788743427,0.00174905499302237,0.290455540137106,0.00146267109953159,0.115252382939765,0.00187435623674764,0.0262631698130585,5.91409859974016e-05,14.0473279128205,0.121126926272948,116.6,6.12045749923974,46.3573650371409,6.0513312214858,147.6,14.7803924169827,0.00148464553035417,0.000815717561701471,-0.00365521587449024,0.000688694445092103,0.0218033338487747,0.00292192851136734,NA,NA,264,22.1788187241792,5
"tecator","Credible support set","credible support summary","coverage=0.9, beta=0.08","full",12,0.143474825813631,0.00237737583586575,0.294406719950417,0.00093968431933373,0.121953342393618,0.0016085281660195,0.0267441441981928,0.000158968140198544,14.8374491569778,0.231525275420637,133,8.70057469366248,59.363702754796,7.05599365715012,195.8,17.3072239252862,-0.00800934540596394,0.0026447003535893,0.000847120878325835,0.000358579658845056,0.0239518733116398,0.000835856414003791,NA,NA,308,22.7771815640127,5
"gasoline","Group lasso","predictive selection","group lasso, lambda.min","full",12,NA,NA,NA,NA,NA,NA,NA,NA,5.4,0.244948974278318,NA,NA,NA,NA,5.4,0.244948974278318,0.00659929646372112,0.0130280206226049,-0.136368053918152,0.373950225635832,NA,NA,0.0640000000000441,0.00509901951359038,264,22.1788187241792,5
"tecator","Group lasso","predictive selection","group lasso, lambda.min","full",12,NA,NA,NA,NA,NA,NA,NA,NA,5.8,0.2,NA,NA,NA,NA,5.8,0.2,-0.898310779669986,0.12441408620477,0.303389117324065,0.0419706010313254,NA,NA,0.146000000000021,0.0215870331449216,308,22.7771815640127,5
"gasoline","Dilution-prior BMA","redundancy-aware prior","power=0.5","full",12,0.642413473572729,0.0102955521603388,1.89907301873303,0.070077378912764,1.23723942203365,0.0680900629683662,NA,NA,72,6.94262198308391,NA,NA,NA,NA,72,6.94262198308391,0.00364754980251727,0.00377010949605972,-0.0541083591340088,0.00797517923510749,NA,NA,NA,NA,264,22.1788187241792,5
"tecator","Dilution-prior BMA","redundancy-aware prior","power=0.5","full",12,0.904062260170444,0.00663408259276808,8.22523438492326,0.308302561518962,3.93425555482983,0.130558916328973,NA,NA,10,0.447213595499958,NA,NA,NA,NA,10,0.447213595499958,0.0522904762623402,0.0218146111700295,-0.0211210155053369,0.00341301562594131,NA,NA,NA,NA,308,22.7771815640127,5
"gasoline","DPP-prior BMA","redundancy-aware prior","power=1","full",12,0.81649719592331,0.0153030745630758,5.5711741069087,0.238996166373073,2.60404274255973,0.177172833636761,NA,NA,31.4,1.28840987267251,NA,NA,NA,NA,31.4,1.28840987267251,0.0173010812416174,0.0069499500225348,-0.104520737505738,0.0173265326039862,NA,NA,NA,NA,264,22.1788187241792,5
"tecator","DPP-prior BMA","redundancy-aware prior","power=1","full",12,0.984333869092186,0.00173635660676497,18.9692964380381,0.476869260902492,4.66918600677578,0.17451014677866,NA,NA,2.6,0.244948974278318,NA,NA,NA,NA,2.6,0.244948974278318,0.0582940205499923,0.0248472578903492,-0.0230054960335813,0.0039078612983332,NA,NA,NA,NA,308,22.7771815640127,5
