"method","method_family","tuning","beta","tv","fkl","rkl","mean_h_error","q0","expected_code","active_kernels_001","q_effective_kernels","n_kernels","stored_atoms","objective","rmse","logscore","rmse_gap","logscore_gap","kkt_residual","optimizer_status","optimizer_iterations","objective_change","raw_candidates","key_deduped_candidates","near_deduped_candidates","objective_consistent","runtime_sec","status","error","dataset","response","replication_id","mode","p_reduced","n_train","n_test","reference_type","reference_supports","reference_support_entropy","reference_support_n95"
"Top-M support atoms","atom truncation","M=16, beta=0.02",0.02,0.296644752078821,0.225587627916508,0.192367166959308,0,0.387390316165414,30.7806412107719,17,8.47350767969631,17,16,0.839063507579175,0.198400197309721,-0.135856867583482,0.00456900017646369,0.00703584951016367,0.00524293901188466,"objective_converged_kkt_warning",38,1.11540467406801e-06,NA,NA,NA,NA,NA,"ok",NA,"gasoline","octane",4,"full",12,45,15,"exact enumerated reduced real-response BMA",4096,4.6825409181669,325
"Top-M support atoms","atom truncation","M=32, beta=0.02",0.02,0.257130064718123,0.222330699501971,0.17001454045706,0,0.309159586420828,27.1813480395304,33,14.0312815691328,33,32,0.763316371057722,0.197895901843904,-0.137690495472261,0.00406470471064732,0.00520222162138462,0.00767632123041551,"objective_converged_kkt_warning",36,1.45512111726642e-06,NA,NA,NA,NA,NA,"ok",NA,"gasoline","octane",4,"full",12,45,15,"exact enumerated reduced real-response BMA",4096,4.6825409181669,325
"Credible support set","credible support summary","coverage=0.9, beta=0.02",0.02,0.0905442403562696,0.147734774819986,0.0732758525601155,0,0.0978640555621902,17.6087808755441,130,55.8403118422674,187,186,0.495887896287863,0.194827109812725,-0.141007015236885,0.000995912679468081,0.00188570185676049,0.00839963388047049,"objective_converged_kkt_warning",32,7.70189983678726e-07,NA,NA,NA,NA,NA,"ok",NA,"gasoline","octane",4,"full",12,45,15,"exact enumerated reduced real-response BMA",4096,4.6825409181669,325
"Posterior clustering","posterior clustering","clusters=6, beta=0.02",0.02,0.0736024035597585,0.0171946423006958,0.0162258552304975,0,0.512955122620515,8.30625199830736,12,4.78618707873979,12,NA,0.181753948189373,0.193687466532635,-0.14278295365589,-0.000143730600621728,0.000109763437755872,0.0348146616786269,"max_iter_reached",120,1.82039204656426e-05,NA,NA,NA,NA,NA,"ok",NA,"gasoline","octane",4,"full",12,45,15,"exact enumerated reduced real-response BMA",4096,4.6825409181669,325
"Posterior clustering","posterior clustering","clusters=10, beta=0.02",0.02,0.0756298891724886,0.0250487004210831,0.02345459603462,1.11022302462516e-16,0.164260577719398,7.20288657981034,17,9.07996342751424,17,NA,0.166900361852491,0.1935155024002,-0.144569552419254,-0.000315694733057204,-0.00167683532560831,0.0441376400563165,"max_iter_reached",120,1.76074866707898e-05,NA,NA,NA,NA,NA,"ok",NA,"gasoline","octane",4,"full",12,45,15,"exact enumerated reduced real-response BMA",4096,4.6825409181669,325
"ASK-PC pooled union","support-kernel compression","beta=0.08",0.08,0.137765899383814,0.0655050010413817,0.0656644283593379,0,0.001,4.73402951312792,12,7.0657093258342,413,NA,0.442272108680541,0.191942767183303,-0.155200752694311,-0.00188842994995356,-0.0123080356006657,0.0254718917781416,"embedded_pruned_feasible_solution",0,0,505,493,413,TRUE,NA,"ok",NA,"gasoline","octane",4,"full",12,45,15,"exact enumerated reduced real-response BMA",4096,4.6825409181669,325
"ASK-PC pooled-pruned 99%","support-kernel compression","beta=0.08",0.08,0.137765899383814,0.0655050010413817,0.0656644283593379,0,0.001,4.73402951312792,12,7.0657093258342,12,NA,0.442272108680541,0.191942767183303,-0.155200752694311,-0.00188842994995356,-0.0123080356006657,0.00543636304249351,"objective_converged_kkt_warning",2,1.09818605154022e-07,505,493,413,TRUE,NA,"ok",NA,"gasoline","octane",4,"full",12,45,15,"exact enumerated reduced real-response BMA",4096,4.6825409181669,325
"Fixed hard dictionary","fixed region dictionary","beta=0.08",0.08,0.252813845959357,0.210318790820179,0.393432755738885,0,0.289353769932937,14.3166597409431,15,3.27029609667605,49,NA,2.28181070231342,0.188128961435807,-0.182186015355831,-0.00570223569744982,-0.0392932982621851,0.381577239692118,"max_iter_reached",120,3.52696415930609e-05,NA,NA,NA,NA,NA,"ok",NA,"gasoline","octane",4,"full",12,45,15,"exact enumerated reduced real-response BMA",4096,4.6825409181669,325
"Top-M support atoms","atom truncation","M=16, beta=0.08",0.08,0.426214905941333,0.733555443333453,0.475876690843755,0,0.119811232308837,17.8637480460928,17,10.8760587694985,17,16,2.16026872309052,0.200677723499685,-0.135501427168588,0.00684652636642832,0.00739128992505711,0.0067647470941774,"objective_converged_kkt_warning",39,2.063225409632e-06,NA,NA,NA,NA,NA,"ok",NA,"gasoline","octane",4,"full",12,45,15,"exact enumerated reduced real-response BMA",4096,4.6825409181669,325
"Top-M support atoms","atom truncation","M=32, beta=0.08",0.08,0.338264501224085,0.633941623567909,0.365782782713729,0,0.0929304230888026,16.6651496510983,33,18.1035721501647,33,32,1.96425748638061,0.200303925840788,-0.142428456972347,0.00647272870753074,0.000464260121299021,0.0121789465391232,"objective_converged_kkt_warning",38,2.23850485414623e-06,NA,NA,NA,NA,NA,"ok",NA,"gasoline","octane",4,"full",12,45,15,"exact enumerated reduced real-response BMA",4096,4.6825409181669,325
"Credible support set","credible support summary","coverage=0.9, beta=0.08",0.08,0.141997051512802,0.29543547014681,0.121639469736844,0,0.0262389405951497,13.8370138922273,127,56.5740005394734,187,186,1.39836103199975,0.194116687706501,-0.147569168032945,0.000285490573244229,-0.00467645093929903,0.0261325195141471,"objective_converged_kkt_warning",35,1.76986824218517e-06,NA,NA,NA,NA,NA,"ok",NA,"gasoline","octane",4,"full",12,45,15,"exact enumerated reduced real-response BMA",4096,4.6825409181669,325
"Posterior clustering","posterior clustering","clusters=6, beta=0.08",0.08,0.163776791338153,0.100961999911345,0.0854771618935404,0,0.0107300580443372,6.19703892133569,9,3.84226434796373,12,NA,0.59537905175144,0.192561765543398,-0.143860921982752,-0.00126943158985879,-0.000968204889106483,0.0905347402520499,"max_iter_reached",120,3.8150085905686e-05,NA,NA,NA,NA,NA,"ok",NA,"gasoline","octane",4,"full",12,45,15,"exact enumerated reduced real-response BMA",4096,4.6825409181669,325
"Posterior clustering","posterior clustering","clusters=10, beta=0.08",0.08,0.117550117294092,0.0556590733818821,0.0503057740844716,0,0.001,6.22856759099809,12,6.92971641509786,17,NA,0.552008661770707,0.192778476142452,-0.146607840376691,-0.00105272099080461,-0.00371512328304513,0.0959941586905869,"max_iter_reached",120,4.00818482251264e-05,NA,NA,NA,NA,NA,"ok",NA,"gasoline","octane",4,"full",12,45,15,"exact enumerated reduced real-response BMA",4096,4.6825409181669,325
"Dilution-prior BMA","redundancy-aware prior","power=0.5",NA,0.670287396255182,2.1385109808949,1.40852270033513,0,NA,85,NA,NA,NA,85,NA,0.18741133242353,-0.217249845197656,-0.00641986470972652,-0.0743571281040104,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ok",NA,"gasoline","octane",4,"full",12,45,15,"exact enumerated reduced real-response BMA",4096,4.6825409181669,325
"DPP-prior BMA","redundancy-aware prior","power=1",NA,0.825411467481501,6.33177539117437,3.03918590734281,0,NA,31,NA,NA,NA,31,NA,0.234228245527585,-0.297692178729526,0.0403970483943282,-0.15479946163588,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ok",NA,"gasoline","octane",4,"full",12,45,15,"exact enumerated reduced real-response BMA",4096,4.6825409181669,325
"Lasso","predictive selection","alpha=1, lambda.min",NA,NA,NA,NA,NA,NA,8,NA,NA,NA,8,NA,0.184676885573282,0.268303046798863,-0.00915431155997493,0.411195763892509,NA,NA,NA,NA,NA,NA,NA,NA,0.0299999999999727,"ok",NA,"gasoline","octane",4,"full",12,45,15,"exact enumerated reduced real-response BMA",4096,4.6825409181669,325
"Elastic net","predictive selection","alpha=0.5, lambda.min",NA,NA,NA,NA,NA,NA,8,NA,NA,NA,8,NA,0.202010137180509,0.166937136672502,0.00817894004725239,0.309829853766148,NA,NA,NA,NA,NA,NA,NA,NA,0.0299999999999727,"ok",NA,"gasoline","octane",4,"full",12,45,15,"exact enumerated reduced real-response BMA",4096,4.6825409181669,325
"Group lasso","predictive selection","group lasso, lambda.min",NA,NA,NA,NA,NA,NA,6,NA,NA,NA,6,NA,0.203975077929292,0.102046138884903,0.0101438807960353,0.244938855978549,NA,NA,NA,NA,NA,NA,NA,NA,0.0600000000001728,"ok",NA,"gasoline","octane",4,"full",12,45,15,"exact enumerated reduced real-response BMA",4096,4.6825409181669,325
"ASK-PC pooled union","support-kernel compression","beta=0.02",0.02,0.0679518148881715,0.0165361848569695,0.0171051968363212,0,0.001,6.54575020852527,35,14.6308907081217,346,NA,0.144768053931992,4.32960584318602,-2.9079017705809,-0.0041959233288873,0.000239147562253628,0.0494198982487835,"embedded_pruned_feasible_solution",0,0,498,483,346,TRUE,NA,"ok",NA,"tecator","fat",5,"full",12,162,53,"exact enumerated reduced real-response BMA",4096,4.99997790316156,365
"ASK-PC pooled-pruned 99%","support-kernel compression","beta=0.02",0.02,0.0679518148881715,0.0165361848569695,0.0171051968363212,0,0.001,6.54575020852527,35,14.6308907081217,36,NA,0.144768053931992,4.32960584318602,-2.9079017705809,-0.0041959233288873,0.000239147562253628,0.00652059409454453,"max_iter_reached",120,4.4042251179377e-07,498,483,346,TRUE,NA,"ok",NA,"tecator","fat",5,"full",12,162,53,"exact enumerated reduced real-response BMA",4096,4.99997790316156,365
"Fixed hard dictionary","fixed region dictionary","beta=0.02",0.02,0.103177628354949,0.0464342323456888,0.0612364339292981,0,0.888673769711918,39.2957534049354,7,1.66157741701996,49,NA,0.831841949578566,4.32092758930135,-2.90675696029192,-0.0128741772135577,0.00138395785123135,0.273503218892011,"objective_converged_kkt_warning",108,1.80652579895302e-06,NA,NA,NA,NA,NA,"ok",NA,"tecator","fat",5,"full",12,162,53,"exact enumerated reduced real-response BMA",4096,4.99997790316156,365
"Top-M support atoms","atom truncation","M=16, beta=0.02",0.02,0.308637437659662,0.215065471354081,0.198180348113383,0,0.451223686840317,34.4870615695336,17,7.64625150136119,17,16,0.902772487216826,4.31406548130182,-2.90476792135759,-0.0197362852130833,0.00337299678555825,0.00575300578254057,"objective_converged_kkt_warning",39,1.28961418777163e-06,NA,NA,NA,NA,NA,"ok",NA,"tecator","fat",5,"full",12,162,53,"exact enumerated reduced real-response BMA",4096,4.99997790316156,365
"Top-M support atoms","atom truncation","M=32, beta=0.02",0.02,0.280041572451518,0.217154455029978,0.179815469757997,0,0.368566932614511,30.9537270178265,33,12.9694338627056,33,32,0.833666400038886,4.31682191922388,-2.90513536947785,-0.0169798472910303,0.00300554866530511,0.00606627397174225,"objective_converged_kkt_warning",37,1.31214967313831e-06,NA,NA,NA,NA,NA,"ok",NA,"tecator","fat",5,"full",12,162,53,"exact enumerated reduced real-response BMA",4096,4.99997790316156,365
"Credible support set","credible support summary","coverage=0.9, beta=0.02",0.02,0.0909561805291529,0.144330443406185,0.0726306981198431,0,0.101598782382434,19.5626002011829,156,77.2773806115048,242,241,0.531235046135292,4.32469842041757,-2.90661349156059,-0.00910334609733443,0.001527426582558,0.0108780390369884,"objective_converged_kkt_warning",31,1.46505190801172e-06,NA,NA,NA,NA,NA,"ok",NA,"tecator","fat",5,"full",12,162,53,"exact enumerated reduced real-response BMA",4096,4.99997790316156,365
"Posterior clustering","posterior clustering","clusters=6, beta=0.02",0.02,0.0512338849801237,0.00748195636126053,0.00746005748933325,0,0.696665085898255,9.46774656786947,10,3.23721870019491,10,NA,0.19566217318337,4.32572516196177,-2.90680876761511,-0.00807660455313997,0.00133215052804569,0.0189042880085344,"max_iter_reached",120,1.86674461559178e-05,NA,NA,NA,NA,NA,"ok",NA,"tecator","fat",5,"full",12,162,53,"exact enumerated reduced real-response BMA",4096,4.99997790316156,365
"Posterior clustering","posterior clustering","clusters=10, beta=0.02",0.02,0.0542331525114991,0.0103510092322133,0.0101734745068147,0,0.0622804691715705,8.34852344039747,17,10.4888645798436,17,NA,0.17497116386195,4.33225151848146,-2.90800328945426,-0.00155024803344972,0.000137628688895663,0.0400075487593625,"max_iter_reached",120,1.95665852453786e-05,NA,NA,NA,NA,NA,"ok",NA,"tecator","fat",5,"full",12,162,53,"exact enumerated reduced real-response BMA",4096,4.99997790316156,365
"ASK-PC pooled union","support-kernel compression","beta=0.08",0.08,0.171658822735312,0.0937025109387104,0.0937166281916283,0,0.001,4.65022074831976,11,6.83824337593585,346,NA,0.46379764068139,4.32298194731044,-2.90769145078623,-0.0108198192044648,0.000449467356915978,0.0692069863135676,"objective_converged_kkt_warning",1,1.0278210865744e-07,498,483,346,TRUE,NA,"ok",NA,"tecator","fat",5,"full",12,162,53,"exact enumerated reduced real-response BMA",4096,4.99997790316156,365
"ASK-PC pooled-pruned 99%","support-kernel compression","beta=0.08",0.08,0.17345339429911,0.0950951620393402,0.0951523896613197,0,0.001,4.6348039498164,9,6.60318288641052,10,NA,0.463991926236352,4.32315024438044,-2.90773137116674,-0.0106515221344656,0.000409546976406272,0.00408987157125573,"max_iter_reached",120,3.20147882537647e-07,498,483,346,TRUE,NA,"ok",NA,"tecator","fat",5,"full",12,162,53,"exact enumerated reduced real-response BMA",4096,4.99997790316156,365
"Fixed hard dictionary","fixed region dictionary","beta=0.08",0.08,0.241945010733689,0.180106137856909,0.281284602955153,0,0.285713306752752,14.3020316020461,10,4.45481550404091,49,NA,2.27301321578514,4.30365711816076,-2.90505846336893,-0.0301446483541481,0.00308245477422142,0.325061923815547,"max_iter_reached",120,2.07785621033629e-05,NA,NA,NA,NA,NA,"ok",NA,"tecator","fat",5,"full",12,162,53,"exact enumerated reduced real-response BMA",4096,4.99997790316156,365
"Top-M support atoms","atom truncation","M=16, beta=0.08",0.08,0.482416421882429,0.80114950799482,0.595827797508782,0,0.142233983615897,19.7783048165396,17,11.5652231987882,17,16,2.38096589072298,4.30189095971182,-2.90334924125974,-0.0319108068030927,0.00479167688341553,0.00922148365636,"objective_converged_kkt_warning",38,2.96200279814585e-06,NA,NA,NA,NA,NA,"ok",NA,"tecator","fat",5,"full",12,162,53,"exact enumerated reduced real-response BMA",4096,4.99997790316156,365
"Top-M support atoms","atom truncation","M=32, beta=0.08",0.08,0.393931541971413,0.697434591911364,0.452791116094895,0,0.113552289423339,18.8202005964064,33,18.7963244676591,33,32,2.20011697828019,4.30719634973068,-2.90410526668726,-0.0266054167842302,0.00403565145588969,0.010337087203957,"objective_converged_kkt_warning",38,2.23579571478894e-06,NA,NA,NA,NA,NA,"ok",NA,"tecator","fat",5,"full",12,162,53,"exact enumerated reduced real-response BMA",4096,4.99997790316156,365
"Credible support set","credible support summary","coverage=0.9, beta=0.08",0.08,0.152091000001471,0.296508921297331,0.12659190796794,0,0.0273161800285333,15.7028793122474,153,77.364913316693,242,241,1.54839073291563,4.32011919249306,-2.90642525370557,-0.0136825740218507,0.0017156644375782,0.0221541997011834,"objective_converged_kkt_warning",34,1.60332710130717e-06,NA,NA,NA,NA,NA,"ok",NA,"tecator","fat",5,"full",12,162,53,"exact enumerated reduced real-response BMA",4096,4.99997790316156,365
"Posterior clustering","posterior clustering","clusters=6, beta=0.08",0.08,0.148623334680699,0.0626259690271703,0.0635603479386602,0,0.300423500360815,8.40396280542056,10,6.4794403945762,10,NA,0.733074359313042,4.30833434746247,-2.90413139695296,-0.0254674190524371,0.00400952119018694,0.0174844522135157,"max_iter_reached",120,7.09166723322774e-06,NA,NA,NA,NA,NA,"ok",NA,"tecator","fat",5,"full",12,162,53,"exact enumerated reduced real-response BMA",4096,4.99997790316156,365
"Posterior clustering","posterior clustering","clusters=10, beta=0.08",0.08,0.128753721637029,0.0519048987893742,0.0542463670132099,0,0.001,7.3551466405359,15,7.0643697547194,17,NA,0.638361566226781,4.33587670118022,-2.90899172933969,0.00207493466530817,-0.000850811196539514,0.0952227856706987,"max_iter_reached",120,2.80467158761954e-05,NA,NA,NA,NA,NA,"ok",NA,"tecator","fat",5,"full",12,162,53,"exact enumerated reduced real-response BMA",4096,4.99997790316156,365
"Dilution-prior BMA","redundancy-aware prior","power=0.5",NA,0.927798373341922,9.27409100261064,4.41152559807218,2.22044604925031e-16,NA,11,NA,NA,NA,11,NA,4.31916595123736,-2.91821425185733,-0.0146358152775479,-0.0100733337141752,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ok",NA,"tecator","fat",5,"full",12,162,53,"exact enumerated reduced real-response BMA",4096,4.99997790316156,365
"DPP-prior BMA","redundancy-aware prior","power=1",NA,0.989232771060374,20.6576638305376,5.29948431235516,1.11022302462516e-16,NA,2,NA,NA,NA,2,NA,4.30972653875847,-2.91791007698265,-0.0240752277564402,-0.00976915883949436,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ok",NA,"tecator","fat",5,"full",12,162,53,"exact enumerated reduced real-response BMA",4096,4.99997790316156,365
"Lasso","predictive selection","alpha=1, lambda.min",NA,NA,NA,NA,NA,NA,10,NA,NA,NA,10,NA,3.35089046397027,-2.65278844171835,-0.982911302544641,0.255352476424797,NA,NA,NA,NA,NA,NA,NA,NA,0.0600000000001728,"ok",NA,"tecator","fat",5,"full",12,162,53,"exact enumerated reduced real-response BMA",4096,4.99997790316156,365
"Elastic net","predictive selection","alpha=0.5, lambda.min",NA,NA,NA,NA,NA,NA,11,NA,NA,NA,11,NA,3.41132110380875,-2.67331159267891,-0.922480662706158,0.234829325464238,NA,NA,NA,NA,NA,NA,NA,NA,0.0700000000001637,"ok",NA,"tecator","fat",5,"full",12,162,53,"exact enumerated reduced real-response BMA",4096,4.99997790316156,365
"Group lasso","predictive selection","group lasso, lambda.min",NA,NA,NA,NA,NA,NA,6,NA,NA,NA,6,NA,3.27571234239919,-2.61748080997449,-1.05808942411572,0.290660108168665,NA,NA,NA,NA,NA,NA,NA,NA,0.110000000000127,"ok",NA,"tecator","fat",5,"full",12,162,53,"exact enumerated reduced real-response BMA",4096,4.99997790316156,365
"ASK-PC pooled union","support-kernel compression","beta=0.02",0.02,0.0679319978283853,0.0162660877289446,0.0156090560205346,0,0.001,6.0157330539685,36,15.0235393754457,409,NA,0.133871130545565,0.276682263683632,-0.218724585958453,0.000430904181325853,-0.00252167027391501,0.226910155244737,"embedded_pruned_feasible_solution",0,0,503,488,409,TRUE,NA,"ok",NA,"gasoline","octane",5,"full",12,45,15,"exact enumerated reduced real-response BMA",4096,4.13584719939685,222
"ASK-PC pooled-pruned 99%","support-kernel compression","beta=0.02",0.02,0.0679319978283853,0.0162660877289446,0.0156090560205346,0,0.001,6.0157330539685,36,15.0235393754457,39,NA,0.133871130545565,0.276682263683632,-0.218724585958453,0.000430904181325853,-0.00252167027391501,0.00862969917747403,"max_iter_reached",120,8.99801218562368e-07,503,488,409,TRUE,NA,"ok",NA,"gasoline","octane",5,"full",12,45,15,"exact enumerated reduced real-response BMA",4096,4.13584719939685,222
"Fixed hard dictionary","fixed region dictionary","beta=0.02",0.02,0.0314745007964648,0.0149759866849654,0.0220687836544549,0,0.967969684858707,41.906053767612,9,1.23623609810022,49,NA,0.852903116522129,0.275812594596663,-0.217862532486014,-0.000438764905642819,-0.00165961680147544,0.296981452176347,"objective_converged_kkt_warning",88,1.81785440844795e-06,NA,NA,NA,NA,NA,"ok",NA,"gasoline","octane",5,"full",12,45,15,"exact enumerated reduced real-response BMA",4096,4.13584719939685,222
"Top-M support atoms","atom truncation","M=16, beta=0.02",0.02,0.251463265693466,0.221954293847148,0.167066358930853,0,0.298614127436685,26.5602508867978,17,9.59081560734608,17,16,0.750898505650135,0.279087614728032,-0.218311814057259,0.00283625522572617,-0.0021088983727203,0.00540567155594007,"objective_converged_kkt_warning",36,9.58301399789363e-07,NA,NA,NA,NA,NA,"ok",NA,"gasoline","octane",5,"full",12,45,15,"exact enumerated reduced real-response BMA",4096,4.13584719939685,222
"Top-M support atoms","atom truncation","M=32, beta=0.02",0.02,0.194910258492371,0.205911922810082,0.136094154615699,1.11022302462516e-16,0.220024821179886,23.0749262771351,33,15.1913409801312,33,32,0.664689722759616,0.277890172227814,-0.215953334746678,0.0016388127255082,0.000249580937859956,0.00591089831953839,"objective_converged_kkt_warning",34,1.21922373230721e-06,NA,NA,NA,NA,NA,"ok",NA,"gasoline","octane",5,"full",12,45,15,"exact enumerated reduced real-response BMA",4096,4.13584719939685,222
"Credible support set","credible support summary","coverage=0.9, beta=0.02",0.02,0.0904631156515413,0.147208706677904,0.0728994936041474,0,0.0980669910796803,17.7327445662557,104,32.3710771477144,117,116,0.498386332659523,0.277143199777134,-0.215649297720038,0.00089184027482786,0.000553617964500736,0.0089942905200816,"objective_converged_kkt_warning",32,9.67338174728827e-07,NA,NA,NA,NA,NA,"ok",NA,"gasoline","octane",5,"full",12,45,15,"exact enumerated reduced real-response BMA",4096,4.13584719939685,222
"Posterior clustering","posterior clustering","clusters=6, beta=0.02",0.02,0.0647987720489188,0.0149199468126621,0.0138028223456703,0,0.528129616324796,8.54779498855661,12,5.18585599232125,12,NA,0.184229911665606,0.277050600227473,-0.217293126164048,0.000799240725166739,-0.00109021047951,0.0374920050530807,"max_iter_reached",120,2.27126390466015e-05,NA,NA,NA,NA,NA,"ok",NA,"gasoline","octane",5,"full",12,45,15,"exact enumerated reduced real-response BMA",4096,4.13584719939685,222
"Posterior clustering","posterior clustering","clusters=10, beta=0.02",0.02,0.0665923565375532,0.0194353403307552,0.0183315646778148,0,0.0653206622410131,7.3945896586921,17,11.3663497386646,17,NA,0.164896476291591,0.276364022729241,-0.21658488850422,0.000112663226934762,-0.000381972819681387,0.0454869073456261,"max_iter_reached",120,2.90918957128738e-05,NA,NA,NA,NA,NA,"ok",NA,"gasoline","octane",5,"full",12,45,15,"exact enumerated reduced real-response BMA",4096,4.13584719939685,222
"ASK-PC pooled union","support-kernel compression","beta=0.08",0.08,0.149752325070958,0.0757895204700621,0.0708451251764063,0,0.001,4.42955537796285,9,5.64533401625453,409,NA,0.42842312134095,0.277426173355171,-0.223341555930399,0.00117481385286455,-0.00713864024586028,0.10491384655617,"embedded_pruned_feasible_solution",0,0,503,488,409,TRUE,NA,"ok",NA,"gasoline","octane",5,"full",12,45,15,"exact enumerated reduced real-response BMA",4096,4.13584719939685,222
"ASK-PC pooled-pruned 99%","support-kernel compression","beta=0.08",0.08,0.149752325070958,0.0757895204700621,0.0708451251764063,0,0.001,4.42955537796285,9,5.64533401625453,10,NA,0.42842312134095,0.277426173355171,-0.223341555930399,0.00117481385286455,-0.00713864024586028,0.00698704321362287,"objective_converged_kkt_warning",2,8.1279081243224e-08,503,488,409,TRUE,NA,"ok",NA,"gasoline","octane",5,"full",12,45,15,"exact enumerated reduced real-response BMA",4096,4.13584719939685,222
"Fixed hard dictionary","fixed region dictionary","beta=0.08",0.08,0.082600679003484,0.0592208631889934,0.116983965663768,0,0.299462749582683,14.3080893322111,11,2.27016097483325,49,NA,2.32105997510742,0.274872066900665,-0.220910386551392,-0.00137929260164055,-0.00470747086685347,0.369386313378946,"max_iter_reached",120,3.72163280015769e-05,NA,NA,NA,NA,NA,"ok",NA,"gasoline","octane",5,"full",12,45,15,"exact enumerated reduced real-response BMA",4096,4.13584719939685,222
"Top-M support atoms","atom truncation","M=16, beta=0.08",0.08,0.327572937632678,0.617469176194079,0.344415958966604,0,0.0893468969828646,16.4055065364331,17,10.4665240504714,17,16,1.92756151713032,0.280653599330528,-0.2216890468903,0.00440223982822163,-0.00548613120576125,0.00878315088810266,"objective_converged_kkt_warning",35,2.78472212444925e-06,NA,NA,NA,NA,NA,"ok",NA,"gasoline","octane",5,"full",12,45,15,"exact enumerated reduced real-response BMA",4096,4.13584719939685,222
"Top-M support atoms","atom truncation","M=32, beta=0.08",0.08,0.23800626965443,0.500538104387811,0.243516352583427,0,0.0634279524793697,15.4554021021639,33,15.7170171796714,33,32,1.73421552853876,0.279009491029106,-0.218618154693547,0.0027581315267996,-0.00241523900900872,0.00635269870581867,"objective_converged_kkt_warning",33,2.01032428481795e-06,NA,NA,NA,NA,NA,"ok",NA,"gasoline","octane",5,"full",12,45,15,"exact enumerated reduced real-response BMA",4096,4.13584719939685,222
"Credible support set","credible support summary","coverage=0.9, beta=0.08",0.08,0.135435981295618,0.288303494194494,0.111778317599439,0,0.0262922863287985,14.0789600214118,96,29.4443027702991,117,116,1.41123779547037,0.277647160597483,-0.217902586366253,0.0013958010951774,-0.0016996706817145,0.015569720883676,"objective_converged_kkt_warning",33,1.31797101476927e-06,NA,NA,NA,NA,NA,"ok",NA,"gasoline","octane",5,"full",12,45,15,"exact enumerated reduced real-response BMA",4096,4.13584719939685,222
"Posterior clustering","posterior clustering","clusters=6, beta=0.08",0.08,0.152944760669114,0.0939798528613209,0.0763391794348753,0,0.0480304456303005,6.62333487241243,12,4.41858839730498,12,NA,0.622360822376357,0.277795558366793,-0.21894595251568,0.0015441988644872,-0.00274303683114169,0.107694862435674,"max_iter_reached",120,5.69893802607746e-05,NA,NA,NA,NA,NA,"ok",NA,"gasoline","octane",5,"full",12,45,15,"exact enumerated reduced real-response BMA",4096,4.13584719939685,222
"Posterior clustering","posterior clustering","clusters=10, beta=0.08",0.08,0.121655527675203,0.0486913755325122,0.0443955236354129,0,0.001,6.56539498559307,15,7.02706296732424,17,NA,0.571973205547015,0.27681541598111,-0.218371441094195,0.000564056478804087,-0.00216852540965715,0.0980832438327042,"max_iter_reached",120,6.6758654197141e-05,NA,NA,NA,NA,NA,"ok",NA,"gasoline","octane",5,"full",12,45,15,"exact enumerated reduced real-response BMA",4096,4.13584719939685,222
"Dilution-prior BMA","redundancy-aware prior","power=0.5",NA,0.624837927862979,1.82101034868819,1.10931934203541,0,NA,49,NA,NA,NA,49,NA,0.280067371917299,-0.245069418278932,0.00381601241499313,-0.0288665025943934,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ok",NA,"gasoline","octane",5,"full",12,45,15,"exact enumerated reduced real-response BMA",4096,4.13584719939685,222
"DPP-prior BMA","redundancy-aware prior","power=1",NA,0.801978589079027,5.18376823948215,2.21280688786598,0,NA,28,NA,NA,NA,28,NA,0.275474379411166,-0.262565592625861,-0.000776980091140467,-0.046362676941323,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ok",NA,"gasoline","octane",5,"full",12,45,15,"exact enumerated reduced real-response BMA",4096,4.13584719939685,222
"Lasso","predictive selection","alpha=1, lambda.min",NA,NA,NA,NA,NA,NA,10,NA,NA,NA,10,NA,0.268054695430338,-0.800273816634465,-0.00819666407196784,-0.584070900949927,NA,NA,NA,NA,NA,NA,NA,NA,0.0499999999999545,"ok",NA,"gasoline","octane",5,"full",12,45,15,"exact enumerated reduced real-response BMA",4096,4.13584719939685,222
"Elastic net","predictive selection","alpha=0.5, lambda.min",NA,NA,NA,NA,NA,NA,11,NA,NA,NA,11,NA,0.276550852129479,-0.973102075652523,0.000299492627173159,-0.756899159967985,NA,NA,NA,NA,NA,NA,NA,NA,0.0299999999999727,"ok",NA,"gasoline","octane",5,"full",12,45,15,"exact enumerated reduced real-response BMA",4096,4.13584719939685,222
"Group lasso","predictive selection","group lasso, lambda.min",NA,NA,NA,NA,NA,NA,6,NA,NA,NA,6,NA,0.310236037405733,-1.83962903187125,0.033984677903427,-1.62342611618671,NA,NA,NA,NA,NA,NA,NA,NA,0.0499999999999545,"ok",NA,"gasoline","octane",5,"full",12,45,15,"exact enumerated reduced real-response BMA",4096,4.13584719939685,222
