"method","tv","fkl","rkl","mean_h_error","expected_code","code_penalty","entropy_penalty","objective_check","q0","q_effective_kernels","q_kernel95","rmse","logscore","rmse_gap","logscore_gap","label","n_kernels","active_kernels_001","objective","kkt_residual","runtime_sec","column_iterations","q_iterations","selected_types","scenario","rho","replication_id","mode","retained_q_mass"
"posterior_cluster_only",0.00673580742374817,0.00183235025106516,0.00155695619148061,2.66453525910038e-15,4.69788555640251,0.0939577111280502,-0.000286809695028267,0.0955032516840871,0.0222245046885363,1.33217067064939,2,1.39042550496713,-1.74756849474816,-6.0252227533919e-06,1.57583176234599e-05,"Cluster only",3,3,0.0955032516840871,0.0652896270102041,0.390000000000001,2,80,"soft_group_hamming","one_representative",0.95,2,"medium",NA
"residual_cover_only",0.00658449694423937,0.001735859786467,0.0014819187356273,2.44249065417534e-15,5.5051995264523,0.110103990529046,-0.000395595762822622,0.11144425455269,0.0491185073593613,1.48526879531739,2,1.39042563995769,-1.74756884849325,-5.89023220176621e-06,1.54045725264673e-05,"Residual only",3,3,0.11144425455269,0.0566768585105211,0.269999999999996,2,80,"soft_group_hamming","one_representative",0.95,2,"medium",NA
"intervals_only",0.0350557037217866,0.00949047699525552,0.00815844540073295,7.7715611723761e-16,4.28524473688224,0.0857048947376449,-0.00146651183410364,0.0937288598987967,0.001,4.33409071585778,6,1.39069820934933,-1.74778769418082,0.000266679159444783,-0.000203441115039116,"Intervals only",11,11,0.0937288598987967,0.0258050002729966,2.63000000000001,10,1,"soft_interval","one_representative",0.95,2,"medium",NA
"graph_only",0.0316567807542441,0.00825449528626282,0.00710458684503791,1.99840144432528e-15,4.97484348627642,0.0994968697255285,-0.000653675309736128,0.107097689702055,0.001,1.9225939882056,3,1.39043150166259,-1.74757744673287,-2.85272943045811e-08,6.80633290817134e-06,"Graph only",5,4,0.107097689702055,0.00680292609643662,0.469999999999999,4,80,"soft_graph","one_representative",0.95,2,"medium",NA
"fixed_hard_dictionary",0.0775263981197817,0.0738825540530563,0.0461988333920237,3.33066907387547e-16,8.37036746896904,0.167407349379381,-0.00104568432165629,0.240244219110781,0.209379948119546,2.84534498876713,3,1.47982388229537,-1.8277885546798,9.22058365897538e-05,-6.23103353845078e-05,"Fixed hard",17,NA,0.240244219110781,0.0253478213973768,0.329999999999998,0,80,"","one_representative",0.95,3,"medium",NA
"topM_support_atoms",0.0441669308954571,0.102469165518245,0.0390364404989611,0,9.84005552652934,0.196801110530587,-0.00230822748199193,0.296962048566839,0.0426082731598036,10.0565833725601,18,1.47903785177461,-1.82763656839143,-0.000693824684173006,8.96759529862567e-05,"Top-$M$ atoms",33,NA,0.296962048566839,0.00674679013537915,0.170000000000002,0,31,"","one_representative",0.95,3,"medium",NA
"pooled_candidate_union",0.0575620474261965,0.0290437535316277,0.0225305857707723,1.11022302462516e-16,1.54133358186833,0.0308266716373666,-0.00205120129912909,0.0578192238698652,0.001,7.77723828639088,43,1.47989540976441,-1.82773479599739,0.000163733305631464,-8.55165297131144e-06,"Pooled union",375,56,0.0578192238698652,0.0569747703180014,10.72,0,5,"pooled_union_warmstarted","one_representative",0.95,3,"medium",NA
"pooled_pruned_99",0.0575221337444863,0.0289906163917664,0.0224960974144975,4.44089209850063e-16,1.54860733400621,0.0309721466801242,-0.00206361809708376,0.0578991449748068,0.001,7.87440870712969,44,1.479895463174,-1.82773477042409,0.000163786715216663,-8.5260796693909e-06,"Pooled-pruned 99%",251,58,0.0578991449748068,0.0569310760360034,6.92,0,140,"pooled_pruned_99","one_representative",0.95,3,"medium",0.990104406683466
"full_adaptive",5.55111512312578e-16,1.11022302462516e-15,-1.11022302462516e-15,1.11022302462516e-15,10,0.2,0,0.200000000000001,1,1,1,1.47973167645878,-1.82772624434442,0,0,"Full adaptive",1,1,0.200000000000001,0,5.47,12,1,"hard_active","one_representative",0.95,3,"medium",NA
"no_residual_cover",5.55111512312578e-16,1.11022302462516e-15,-1.11022302462516e-15,1.11022302462516e-15,10,0.2,0,0.200000000000001,1,1,1,1.47973167645878,-1.82772624434442,0,0,"No residual",1,1,0.200000000000001,0,3.97,12,1,"hard_active","one_representative",0.95,3,"medium",NA
"no_posterior_cluster",5.55111512312578e-16,1.11022302462516e-15,-1.11022302462516e-15,1.11022302462516e-15,10,0.2,0,0.200000000000001,1,1,1,1.47973167645878,-1.82772624434442,0,0,"No cluster",1,1,0.200000000000001,0,3.72,12,1,"hard_active","one_representative",0.95,3,"medium",NA
"posterior_cluster_only",0.00800117095775353,0.00217601949191016,0.00185023283294219,2.44249065417534e-15,4.70089687919399,0.0940179375838798,-0.00028744712529396,0.095906509950496,0.0228049136721049,1.33302010725347,2,1.47969459093816,-1.82775536238597,-3.70855206219822e-05,-2.91180415470382e-05,"Cluster only",3,3,0.095906509950496,0.0645970486069981,0.299999999999997,2,80,"soft_group_hamming","one_representative",0.95,3,"medium",NA
"residual_cover_only",0.00781709333949539,0.00205876133357331,0.00175896251466293,2.1094237467878e-15,5.51023782750678,0.110204756550136,-0.000397245161236444,0.111866272722472,0.0502130310175377,1.48772061677185,3,1.47969543972452,-1.8277546832451,-3.62367342658931e-05,-2.8438900684602e-05,"Residual only",3,3,0.111866272722472,0.0560112800080451,0.219999999999999,2,80,"soft_group_hamming","one_representative",0.95,3,"medium",NA
"intervals_only",0.0327247311047836,0.00953156208167741,0.00849821397290637,9.99200722162641e-16,4.28238945289704,0.0856477890579408,-0.00143535797411804,0.0937439931655002,0.001,4.20114864212088,6,1.48035519535891,-1.82789753999776,0.00062351890012402,-0.000171295653338843,"Intervals only",11,11,0.0937439931655002,0.00640351406972717,2.11,10,1,"soft_interval","one_representative",0.95,3,"medium",NA
"graph_only",0.0289917115368062,0.00747149535531243,0.00644986455606085,1.55431223447522e-15,4.97484348627643,0.0994968697255285,-0.000650875004352689,0.106317490076488,0.001,1.91721766909123,3,1.47977794766674,-1.82771764057733,4.62712079616345e-05,8.60376709010957e-06,"Graph only",5,5,0.106317490076488,0.00605992598193572,0.439999999999998,4,80,"soft_graph","one_representative",0.95,3,"medium",NA
"fixed_hard_dictionary",0.0662786580852603,0.0549524546748858,0.0295956964048071,3.33066907387547e-16,5.89482330994069,0.117896466198814,-0.00166628744165804,0.171182633432042,0.0757108253655153,5.29248262809143,8,2.02510554185687,-2.12676173392756,0.0106490305858258,-0.00538682725072759,"Fixed hard",17,NA,0.171182633432042,0.021911093873006,0.349999999999994,0,80,"","weak_signal",0.95,1,"medium",NA
"topM_support_atoms",0.118158134003605,0.185953958945569,0.0947122405358407,2.22044604925031e-16,9.21135406805395,0.184227081361079,-0.00272138625617136,0.367459654050476,0.106214487430564,15.201380653151,23,2.02956140631431,-2.12961991531464,0.0151048950432666,-0.00824500863781674,"Top-$M$ atoms",33,NA,0.367459654050476,0.00247106969265987,0.169999999999987,0,32,"","weak_signal",0.95,1,"medium",NA
"pooled_candidate_union",0.0419912685711386,0.0100349451754205,0.00890256489769295,1.33226762955019e-15,2.06269471892161,0.0412538943784321,-0.00243536526022613,0.0488534742936265,0.001,11.4199892195052,12,2.02295590592597,-2.12574872405246,0.00849939465492211,-0.00437381737563047,"Pooled union",399,22,0.0488534742936265,0.0598649793607791,11.53,0,5,"pooled_union_warmstarted","weak_signal",0.95,1,"medium",NA
"pooled_pruned_99",0.0419665904885112,0.0100315246538076,0.00889838068577129,1.55431223447522e-15,2.06445524681137,0.0412891049362273,-0.00243915576906379,0.0488814738209712,0.001,11.4633589342835,12,2.02294871555539,-2.12574539109388,0.00849220428434627,-0.0043704844170569,"Pooled-pruned 99%",175,22,0.0488814738209712,0.0599168536970299,3.69,0,140,"pooled_pruned_99","weak_signal",0.95,1,"medium",0.990046652777539
"full_adaptive",0.0381289388562902,0.00871797204530701,0.00776506893033785,1.55431223447522e-15,2.12961396529871,0.0425922793059742,-0.00158024866903955,0.0497300026822417,0.001,4.85616323855474,6,2.02206741469301,-2.12528436892406,0.00761090342196447,-0.00390946224722866,"Full adaptive",12,11,0.0497300026822417,0.0343007075303265,5.66999999999999,12,80,"hard_active;soft_group_hamming","weak_signal",0.95,1,"medium",NA
"no_residual_cover",0.0376863224840836,0.00871340830524786,0.00775488831731178,1.55431223447522e-15,2.12981638060345,0.042596327612069,-0.00156833917000004,0.0497413967473168,0.001,4.79867179381134,6,2.0220305192478,-2.12527297064695,0.00757400797675434,-0.00389806397012027,"No residual",12,11,0.0497413967473168,0.0335625176801295,5.17000000000002,12,80,"hard_active;soft_group_hamming","weak_signal",0.95,1,"medium",NA
"no_posterior_cluster",0.0681968241416926,0.0215066355728102,0.0190739079089379,0,2.4124496228461,0.048248992456922,-0.00111114130569388,0.0686444867240384,0.001,3.03782350194585,4,2.02289644404171,-2.12571975518988,0.0084399327706639,-0.00434484851304839,"No cluster",9,7,0.0686444867240384,0.0731914479651469,3.72,9,80,"hard_active;soft_group_hamming","weak_signal",0.95,1,"medium",NA
"posterior_cluster_only",0.0507436210634392,0.0135143299762273,0.0121680892812576,4.44089209850063e-16,1.8020755393553,0.0360415107871059,-0.00138698198561677,0.0481688587777165,0.001,4.00275144385922,5,2.02340312526522,-2.12590783995221,0.00894661399417274,-0.00453293327538162,"Cluster only",10,8,0.0481688587777165,0.02698644215918,1.44999999999999,9,80,"soft_group_hamming","weak_signal",0.95,1,"medium",NA
"residual_cover_only",0.0691753160453234,0.021743128236963,0.0193697197312485,2.22044604925031e-16,2.38749027091279,0.0477498054182558,-0.0010501553153983,0.0684427783398205,0.001,2.85809498975393,4,2.02312697526116,-2.12580658506124,0.00867046399011162,-0.0044316783844085,"Residual only",6,5,0.0684427783398205,0.00708801503050749,0.840000000000003,6,1,"soft_group_hamming","weak_signal",0.95,1,"medium",NA
"intervals_only",0.0763762222208292,0.0229456016316616,0.0206220276088147,8.88178419700125e-16,5.49511115758258,0.109902223151652,-0.00141837547367228,0.131429449309641,0.00233991455238576,4.13040503532817,6,2.02870834985076,-2.12855278114596,0.0142518385797192,-0.00717787446913576,"Intervals only",10,10,0.131429449309641,0.0315437077839227,1.91999999999999,9,1,"soft_interval","weak_signal",0.95,1,"medium",NA
"graph_only",0.102832664622572,0.0303944300850066,0.029098668171063,0,6.28677982742928,0.125735596548586,-0.00141204215775907,0.154717984475833,0.261812653542715,4.10432853790058,4,2.03417576965447,-2.13107915137927,0.0197192583834278,-0.0097042447024398,"Graph only",5,5,0.154717984475833,0.0188429308250398,0.409999999999997,4,80,"soft_graph","weak_signal",0.95,1,"medium",NA
"fixed_hard_dictionary",0.0688571752288471,0.0637236003261007,0.0352430911802775,2.22044604925031e-16,6.60363732035558,0.132072746407112,-0.00138553840825351,0.194410808324959,0.118863668721383,3.99697733117599,5,2.02086561475133,-2.13517754773353,0.0047265102285543,-0.00229932404629318,"Fixed hard",17,NA,0.194410808324959,0.0272958625382782,0.289999999999992,0,80,"","weak_signal",0.95,2,"medium",NA
"topM_support_atoms",0.106738252537098,0.173473385924644,0.0862062304593191,4.44089209850063e-16,10.5468513997636,0.210937027995271,-0.00299663788992698,0.381413776029988,0.0991034256262614,20.0181205313462,25,2.02447107554542,-2.13755079290857,0.00833197102264016,-0.00467256922133608,"Top-$M$ atoms",33,NA,0.381413776029988,0.00436412829415822,0.159999999999997,0,31,"","weak_signal",0.95,2,"medium",NA
"pooled_candidate_union",0.030770839987028,0.0087169092495816,0.00827733716369261,7.7715611723761e-16,2.74902503436821,0.0549805006873641,-0.00224156222103792,0.0614558477159078,0.001,9.4080172155423,29,2.01845047470069,-2.13334937275767,0.00231137017790983,-0.000471149070436994,"Pooled union",381,38,0.0614558477159078,0.0503570611195827,11.07,0,5,"pooled_union_warmstarted","weak_signal",0.95,2,"medium",NA
"pooled_pruned_99",0.030757347555749,0.00869997027960611,0.00825785939062523,1.4432899320127e-15,2.75434685067626,0.0550869370135252,-0.00225351311386167,0.0615333941792697,0.001,9.52112594993493,29,2.01844694214355,-2.13334927173944,0.00230783762076925,-0.000471048052208101,"Pooled-pruned 99%",203,38,0.0615333941792697,0.050434179957864,4.53,0,140,"pooled_pruned_99","weak_signal",0.95,2,"medium",0.990154510175439
"full_adaptive",0.0350611276241313,0.0104529031157664,0.0104683197803876,1.66533453693773e-15,2.3248905938476,0.046497811876952,-0.000905001149341287,0.0560457138433771,0.001,2.47193476415252,4,2.01762625382963,-2.13257787255866,0.0014871493068549,0.000300351128581067,"Full adaptive",10,7,0.0560457138433771,0.0132573032735149,4.53,10,80,"hard_active;soft_capacity;soft_group_hamming","weak_signal",0.95,2,"medium",NA
"no_residual_cover",0.0350611276241313,0.0104529031157664,0.0104683197803876,1.66533453693773e-15,2.3248905938476,0.046497811876952,-0.000905001149341287,0.0560457138433771,0.001,2.47193476415252,4,2.01762625382963,-2.13257787255866,0.0014871493068549,0.000300351128581067,"No residual",10,7,0.0560457138433771,0.0132573032735149,4.16999999999999,10,80,"hard_active;soft_capacity;soft_group_hamming","weak_signal",0.95,2,"medium",NA
"no_posterior_cluster",0.0371333426730202,0.0144983295644116,0.0146870841739406,2.44249065417534e-15,3.26772924292632,0.0653545848585264,-0.00101613425246564,0.0788367801704723,0.0136314632144366,2.7624949877847,3,2.01632928937919,-2.13190756772939,0.000190184856414977,0.000970655957843292,"No cluster",4,4,0.0788367801704723,0.0757313403352046,1.63,4,80,"hard_active;soft_capacity;soft_group_hamming","weak_signal",0.95,2,"medium",NA
"posterior_cluster_only",0.0367788223751625,0.0129765398100169,0.0129998957572336,1.55431223447522e-15,2.21496455283185,0.044299291056637,-0.000469849039456871,0.056805981827197,0.001,1.59975267545523,2,2.01917064800387,-2.13356770092672,0.00303154348108814,-0.000689477239480318,"Cluster only",4,3,0.056805981827197,0.00141835528905687,0.390000000000015,3,43,"soft_group_hamming","weak_signal",0.95,2,"medium",NA
"residual_cover_only",0.0517497674539063,0.0151534675958983,0.0127222158478506,1.22124532708767e-15,4.28560212373676,0.0857120424747352,-0.00112278423033639,0.0997427258402971,0.001,3.07339935365573,7,2.02446525972668,-2.13885466024916,0.00832615520390023,-0.00597643656191948,"Residual only",12,11,0.0997427258402971,0.00906798203121928,0.890000000000015,11,1,"soft_group_hamming;soft_hamming","weak_signal",0.95,2,"medium",NA
"intervals_only",0.0709156975849607,0.0273876961134291,0.028504435229446,6.66133814775094e-16,4.37389532318051,0.0874779064636102,-0.00171827732037709,0.113147325256662,0.001,5.57491639252422,6,2.01512017703114,-2.1303177269869,-0.00101892749163923,0.00256049670033232,"Intervals only",10,9,0.113147325256662,0.0114023343291246,2.23000000000002,9,80,"soft_interval","weak_signal",0.95,2,"medium",NA
"graph_only",0.0651477652712956,0.0269363700257438,0.0290906002713667,4.44089209850063e-16,5.08368154418367,0.101673630883673,-0.00114006070030271,0.127469940209114,0.0226369817641294,3.12695816673288,3,2.01542943769257,-2.13029828501689,-0.000709666830210232,0.00257993867034312,"Graph only",5,5,0.127469940209114,0.0379296552576727,0.409999999999997,4,80,"soft_graph","weak_signal",0.95,2,"medium",NA
"fixed_hard_dictionary",0.0609374078528201,0.0637390512220733,0.0352149375188678,2.22044604925031e-16,6.77134728557298,0.13542694571146,-0.00131849145591806,0.197847505477615,0.123103822825797,3.73777851841677,4,1.78157442187063,-2.02120779478241,0.0021673466824681,-0.00212863399275687,"Fixed hard",17,NA,0.197847505477615,0.0583137863327085,0.330000000000013,0,80,"","weak_signal",0.95,3,"medium",NA
"topM_support_atoms",0.180042585017221,0.220848851769416,0.134018843651727,0,14.7902229788875,0.29580445957775,-0.00312210286987852,0.513531208477287,0.172479302977052,22.6940521397456,29,1.7916241378966,-2.0228751096732,0.012217062708441,-0.00379594888354662,"Top-$M$ atoms",33,NA,0.513531208477287,0.00272682310474759,0.159999999999997,0,32,"","weak_signal",0.95,3,"medium",NA
"pooled_candidate_union",0.0378803258404533,0.00865548997285101,0.00850396100899352,6.66133814775094e-16,2.50839909904206,0.0501679819808411,-0.00228256979722761,0.0565409021564645,0.001,9.80183680531447,20,1.7763567295697,-2.01988973999118,-0.00305034561845918,-0.000810579201532491,"Pooled union",390,32,0.0565409021564645,0.0503654357960091,9.71000000000001,0,5,"pooled_union_warmstarted","weak_signal",0.95,3,"medium",NA
"pooled_pruned_99",0.037838041372914,0.00864598525647652,0.00849267743137743,1.11022302462516e-15,2.51222786899591,0.0502445573799183,-0.00229128824310383,0.056599254393291,0.001,9.8876671991381,20,1.77635882166425,-2.01988792034514,-0.00304825352391602,-0.000808759555483984,"Pooled-pruned 99%",204,33,0.056599254393291,0.0504201489931703,3.66,0,140,"pooled_pruned_99","weak_signal",0.95,3,"medium",0.990007180136053
"full_adaptive",0.0430105463009427,0.01058344120226,0.0105097048336955,1.55431223447522e-15,2.2173411491827,0.044346822983654,-0.00138971167283355,0.0535405525130805,0.001,4.01369262952103,5,1.77574121700722,-2.01986645708642,-0.00366585818094167,-0.000787296296771878,"Full adaptive",8,7,0.0535405525130805,0.0126159400241493,4.85999999999999,10,80,"hard_active;soft_capacity;soft_group_hamming","weak_signal",0.95,3,"medium",NA
"no_residual_cover",0.0430105463009427,0.01058344120226,0.0105097048336955,1.55431223447522e-15,2.2173411491827,0.044346822983654,-0.00138971167283355,0.0535405525130805,0.001,4.01369262952103,5,1.77574121700722,-2.01986645708642,-0.00366585818094167,-0.000787296296771878,"No residual",8,7,0.0535405525130805,0.0126159400241493,4.55000000000001,10,80,"hard_active;soft_capacity;soft_group_hamming","weak_signal",0.95,3,"medium",NA
"no_posterior_cluster",0.048430602287695,0.0203376923254232,0.0217037337090278,1.55431223447522e-15,3.45098026601607,0.0690196053203213,-0.00142016120115602,0.0879371364445885,0.001,4.13778740260508,5,1.78024069457331,-2.02097774472781,0.000833619385147255,-0.00189858393815534,"No cluster",7,6,0.0879371364445885,0.0183431216553487,2.75,7,80,"hard_active;soft_capacity;soft_group_hamming;soft_interval","weak_signal",0.95,3,"medium",NA
"posterior_cluster_only",0.0390998888604461,0.0109934544299788,0.0108121870564553,1.77635683940025e-15,2.3618094301903,0.047236188603806,-0.00138207231344103,0.0568475707203437,0.001,3.98314741053673,5,1.77465218443271,-2.01957405253743,-0.00475489075544688,-0.000494891747777171,"Cluster only",8,8,0.0568475707203437,0.0443015534515102,1.09,7,80,"soft_group_hamming","weak_signal",0.95,3,"medium",NA
"residual_cover_only",0.0656100801501977,0.0192136966988653,0.0169136878332417,1.33226762955019e-15,4.17352588652341,0.0834705177304683,-0.00116760694371716,0.101516607485616,0.001,3.21429144716899,7,1.78505237588644,-2.02144582022557,0.00564530069827684,-0.00236665943592129,"Residual only",12,11,0.101516607485616,0.010607441777216,0.980000000000018,11,80,"soft_group_hamming;soft_hamming","weak_signal",0.95,3,"medium",NA
"intervals_only",0.0990738962345137,0.034976819454424,0.0352616274027311,2.66453525910038e-15,4.5061132970897,0.0901222659417939,-0.00174092364542991,0.123358161750788,0.001,5.7026081788967,7,1.77757468114743,-2.02349698205283,-0.00183239404072855,-0.0044178212631798,"Intervals only",12,12,0.123358161750788,0.0057355889634717,2.31,11,1,"soft_interval","weak_signal",0.95,3,"medium",NA
"graph_only",0.0942713691907014,0.0286351528016438,0.0287969071637877,2.88657986402541e-15,5.33329873481534,0.106665974696307,-0.000974250300778885,0.134326877197172,0.0722608238793002,2.64918037784617,3,1.78088658687903,-2.02392156918731,0.00147951169087324,-0.00484240839766148,"Graph only",4,4,0.134326877197172,0.0310942152433691,0.300000000000011,3,80,"soft_graph","weak_signal",0.95,3,"medium",NA
