"method","method_family","tuning","beta","tv","fkl","rkl","mean_h_error","q0","expected_code","active_kernels_001","q_effective_kernels","n_kernels","stored_atoms","objective","rmse","logscore","rmse_gap","logscore_gap","kkt_residual","optimizer_status","optimizer_iterations","objective_change","raw_candidates","key_deduped_candidates","near_deduped_candidates","objective_consistent","status","error","scenario","rho","replication_id","mode","p","n_train","n_test","reference_object","reference_support_entropy","reference_support_n95","reference_mode","sampler","n_iter","burn","thin","n_chains","retained_draws","unique_supports","unique_group_states","top_support_mass","effective_support_count","mean_size","accept_rate","group_pip_max_range","group_pip_mean_range","split_rhat_max","split_rhat_median","ess_min","ess_median","group_pip_mcse_max","runtime_sec_reference","diagnostic_status","diagnostic_warning","runtime_sec"
"Top-M support atoms","atom truncation","M=96, beta=0.005",0.005,0.306452478110432,0.624139608671316,0.306503800734677,0,0.0699469556587819,86.950929138752,97,24.5513547471263,97,96,1.05569348732918,1.48349179512727,-1.8324399395717,0.0139224178231623,-0.0154509705213461,0.00567861656030821,"objective_converged_kkt_warning",35,1.52285866250601e-06,NA,NA,NA,NA,"ok",NA,"one_representative",0.9,3,"full",100,120,400,"sim/output/large_end_to_end/full_one_representative_rho0p90_rep003_reference_reliable_full_v2.rds",5.1581910991181,1307,"mcmc_empirical_visited_supports","long multi-chain MC3",20000,5000,5,6,18000,2207,136,0.2335,173.849694139745,5.63627777777778,0.075875,0.102,0.0233166666666667,1.03281713054622,1.00417163255562,186.354029563685,2250.40798845601,0.0115481120462601,26.1899999999996,"pass","",NA
"Posterior clustering","posterior clustering","clusters=8, beta=0.005",0.005,0.0396245413650238,0.00379543539232384,0.0037929577121891,0,0.839092391917098,17.304882381213,10,2.08832816933153,10,NA,0.0895834834715074,1.47147825164817,-1.81908958024325,0.00190887434406761,-0.00210061119289073,0.0130418752930967,"max_iter_reached",120,6.70563377264122e-06,NA,NA,NA,NA,"ok",NA,"one_representative",0.9,3,"full",100,120,400,"sim/output/large_end_to_end/full_one_representative_rho0p90_rep003_reference_reliable_full_v2.rds",5.1581910991181,1307,"mcmc_empirical_visited_supports","long multi-chain MC3",20000,5000,5,6,18000,2207,136,0.2335,173.849694139745,5.63627777777778,0.075875,0.102,0.0233166666666667,1.03281713054622,1.00417163255562,186.354029563685,2250.40798845601,0.0115481120462601,26.1899999999996,"pass","",NA
"Posterior clustering","posterior clustering","clusters=12, beta=0.005",0.005,0.0430810825569876,0.00432211366399635,0.00429765117409563,0,0.819983750976512,17.2165263672275,15,2.50294500458552,15,NA,0.0894872774597343,1.47067262519527,-1.81842989442161,0.00110324789116123,-0.00144092537125218,0.0240570918606692,"max_iter_reached",120,1.26754234339721e-05,NA,NA,NA,NA,"ok",NA,"one_representative",0.9,3,"full",100,120,400,"sim/output/large_end_to_end/full_one_representative_rho0p90_rep003_reference_reliable_full_v2.rds",5.1581910991181,1307,"mcmc_empirical_visited_supports","long multi-chain MC3",20000,5000,5,6,18000,2207,136,0.2335,173.849694139745,5.63627777777778,0.075875,0.102,0.0233166666666667,1.03281713054622,1.00417163255562,186.354029563685,2250.40798845601,0.0115481120462601,26.1899999999996,"pass","",NA
"Posterior clustering","posterior clustering","clusters=16, beta=0.005",0.005,0.0456141449457327,0.00544594699424309,0.00534888653933401,0,0.748304009531914,17.1521714167332,22,3.57273132366217,22,NA,0.0899334736979967,1.4707661094013,-1.8183775706528,0.00119673209719351,-0.00138860160244492,0.0292890420108441,"max_iter_reached",120,2.93581787862568e-05,NA,NA,NA,NA,"ok",NA,"one_representative",0.9,3,"full",100,120,400,"sim/output/large_end_to_end/full_one_representative_rho0p90_rep003_reference_reliable_full_v2.rds",5.1581910991181,1307,"mcmc_empirical_visited_supports","long multi-chain MC3",20000,5000,5,6,18000,2207,136,0.2335,173.849694139745,5.63627777777778,0.075875,0.102,0.0233166666666667,1.03281713054622,1.00417163255562,186.354029563685,2250.40798845601,0.0115481120462601,26.1899999999996,"pass","",NA
"ASK-PC pooled union","support-kernel compression","beta=0.02",0.02,0.14053850371142,0.0578294766441793,0.049871203835384,0,0.001,6.44405544269689,123,72.407359297231,1494,NA,0.182428277556109,1.46967448511259,-1.8169225638728,0.000105107808484384,6.64051775587371e-05,0.0150157085107774,"embedded_pruned_feasible_solution",0,0,2336,2315,1494,TRUE,"ok",NA,"one_representative",0.9,3,"full",100,120,400,"sim/output/large_end_to_end/full_one_representative_rho0p90_rep003_reference_reliable_full_v2.rds",5.1581910991181,1307,"mcmc_empirical_visited_supports","long multi-chain MC3",20000,5000,5,6,18000,2207,136,0.2335,173.849694139745,5.63627777777778,0.075875,0.102,0.0233166666666667,1.03281713054622,1.00417163255562,186.354029563685,2250.40798845601,0.0115481120462601,26.1899999999996,"pass","",NA
"ASK-PC pooled-pruned 99%","support-kernel compression","beta=0.02",0.02,0.14053850371142,0.0578294766441793,0.049871203835384,0,0.001,6.44405544269689,123,72.407359297231,216,NA,0.182428277556109,1.46967448511259,-1.8169225638728,0.000105107808484384,6.64051775587371e-05,0.00860509948659005,"max_iter_reached",140,1.28098871593485e-06,2336,2315,1494,TRUE,"ok",NA,"one_representative",0.9,3,"full",100,120,400,"sim/output/large_end_to_end/full_one_representative_rho0p90_rep003_reference_reliable_full_v2.rds",5.1581910991181,1307,"mcmc_empirical_visited_supports","long multi-chain MC3",20000,5000,5,6,18000,2207,136,0.2335,173.849694139745,5.63627777777778,0.075875,0.102,0.0233166666666667,1.03281713054622,1.00417163255562,186.354029563685,2250.40798845601,0.0115481120462601,26.1899999999996,"pass","",NA
"Fixed hard dictionary","fixed region dictionary","beta=0.02",0.02,0.36053921122728,0.639433793369371,0.352652180518865,0,0.0567613401186845,33.5563021554224,49,36.5958151291184,49,NA,1.30695990258468,1.47173715745699,-1.81885128568762,0.00216778015288344,-0.001862316637258,0.0488408195334861,"max_iter_reached",120,2.94284905713038e-05,NA,NA,NA,NA,"ok",NA,"one_representative",0.9,3,"full",100,120,400,"sim/output/large_end_to_end/full_one_representative_rho0p90_rep003_reference_reliable_full_v2.rds",5.1581910991181,1307,"mcmc_empirical_visited_supports","long multi-chain MC3",20000,5000,5,6,18000,2207,136,0.2335,173.849694139745,5.63627777777778,0.075875,0.102,0.0233166666666667,1.03281713054622,1.00417163255562,186.354029563685,2250.40798845601,0.0115481120462601,26.1899999999996,"pass","",NA
"Top-M support atoms","atom truncation","M=24, beta=0.02",0.02,0.452118535338249,1.37892185967462,0.562185712470659,0,0.0252564814841918,46.2377771181714,25,10.3833228322778,25,24,2.30133720109282,1.48658416008159,-1.83601382047462,0.017014782777484,-0.0190248514242637,0.194909443367163,"objective_converged_kkt_warning",65,2.45932051168296e-06,NA,NA,NA,NA,"ok",NA,"one_representative",0.9,3,"full",100,120,400,"sim/output/large_end_to_end/full_one_representative_rho0p90_rep003_reference_reliable_full_v2.rds",5.1581910991181,1307,"mcmc_empirical_visited_supports","long multi-chain MC3",20000,5000,5,6,18000,2207,136,0.2335,173.849694139745,5.63627777777778,0.075875,0.102,0.0233166666666667,1.03281713054622,1.00417163255562,186.354029563685,2250.40798845601,0.0115481120462601,26.1899999999996,"pass","",NA
"Top-M support atoms","atom truncation","M=48, beta=0.02",0.02,0.388225501283033,1.21899608523589,0.460783926393557,0,0.0218282442476782,43.4471571289509,49,15.5444334775366,49,48,2.08519552521609,1.48439116228599,-1.83358920901662,0.0148217849818884,-0.0166002399662641,0.0247744220514433,"objective_converged_kkt_warning",71,3.03205951457386e-06,NA,NA,NA,NA,"ok",NA,"one_representative",0.9,3,"full",100,120,400,"sim/output/large_end_to_end/full_one_representative_rho0p90_rep003_reference_reliable_full_v2.rds",5.1581910991181,1307,"mcmc_empirical_visited_supports","long multi-chain MC3",20000,5000,5,6,18000,2207,136,0.2335,173.849694139745,5.63627777777778,0.075875,0.102,0.0233166666666667,1.03281713054622,1.00417163255562,186.354029563685,2250.40798845601,0.0115481120462601,26.1899999999996,"pass","",NA
"Top-M support atoms","atom truncation","M=96, beta=0.02",0.02,0.323550859722842,1.05961987649139,0.36887366386552,0,0.0180550539519213,40.334872783601,97,23.4789397919559,97,96,1.86316122832313,1.48358110177775,-1.83251368322609,0.0140117244736502,-0.0155247141757344,0.115366880182517,"objective_converged_kkt_warning",64,2.60364660120693e-06,NA,NA,NA,NA,"ok",NA,"one_representative",0.9,3,"full",100,120,400,"sim/output/large_end_to_end/full_one_representative_rho0p90_rep003_reference_reliable_full_v2.rds",5.1581910991181,1307,"mcmc_empirical_visited_supports","long multi-chain MC3",20000,5000,5,6,18000,2207,136,0.2335,173.849694139745,5.63627777777778,0.075875,0.102,0.0233166666666667,1.03281713054622,1.00417163255562,186.354029563685,2250.40798845601,0.0115481120462601,26.1899999999996,"pass","",NA
