"scenario","method","tv_mean","tv_se","fkl_mean","fkl_se","rkl_mean","rkl_se","q0_mean","q0_se","code_mean","code_se","rmse_gap_mean","rmse_gap_se","n","mode"
"one_representative","Posterior clustering",0.0185426595606263,0.00146746425626228,0.00240319742381023,0.000203295668254975,0.00221817225717649,0.00018795293016165,0.0258464723066924,0.00821576103060952,5.58704887173608,0.114390890321698,-4.33744154390015e-05,8.4701489674726e-05,10,"full"
"one_representative","Top-M support atoms",0.00923677394161297,0.00324603547794943,0.0175409936099273,0.00481308966910021,0.00714675732100024,0.00246534370058529,0.0354041073798152,0.0130789335463362,9.54097725721338,0.696411193330637,-3.32010780788041e-06,5.32602685268385e-05,10,"full"
"one_representative","Credible support set",0.0390953014106973,0.000511139856385392,0.0481276308307164,0.000253530051558565,0.026568438391807,0.000249430785114526,0.153977183139318,0.00196943175873738,15.6325165076622,0.119803157126042,-0.000161681068347819,0.000130416455745056,10,"full"
"one_representative","Dilution-prior BMA",0.0213737788040531,0.00384256787194792,0.00433336531550833,0.00115464894846711,0.00380911411436421,0.000995067556279476,NA,NA,8.5,1.82726267648877,-0.00011461196688598,5.66758567977388e-05,10,"full"
"one_representative","DPP-prior BMA",0.0369766019971053,0.00632725607088525,0.0154279947342564,0.00404194985946005,0.011969893153302,0.00300567347183024,NA,NA,7.1,1.51620872207255,-0.000200279824170924,9.9320190837951e-05,10,"full"
"one_representative","Fixed hard dictionary",0.0459183005881258,0.00155914586387054,0.0173364371814236,0.000571344361288021,0.0140618481162848,0.000295502068002543,0.505614492360793,0.0233606615207374,13.6286771469191,0.407708185300224,-0.000202036156298014,0.000159281175432327,10,"full"
"ordered_interval","ASK-PC pooled-pruned 99%",0.0163116917120296,0.00113351012652109,0.00324287401357521,0.000319544350920385,0.00284916793789105,0.000259468291679637,0.001,0,5.13011087386318,0.0302893829544392,0.000295160731103539,0.000102550265187308,10,"full"
"ordered_interval","ASK-PC pooled union",0.0163116917120296,0.00113351012652109,0.00324287401357521,0.000319544350920385,0.00284916793789105,0.000259468291679637,0.001,0,5.13011087386318,0.0302893829544392,0.000295160731103539,0.000102550265187308,10,"full"
"ordered_interval","Posterior clustering",0.0296713372737594,0.00259495152982614,0.00679553216776476,0.000478101139632674,0.00580805114627526,0.00035218398298769,0.284027406651034,0.0965865363502793,7.62071856333592,0.272906330488516,-0.000366779307859733,0.000344852258812712,10,"full"
"ordered_interval","Top-M support atoms",0.00359149572502732,0.00141198251236209,0.00886813744808141,0.00269141744479653,0.00273935862553027,0.00119432316737927,0.0121800244254574,0.00561602367526556,7.83096255670725,0.292496627044452,2.43069129434836e-05,6.92735874641901e-05,10,"full"
"ordered_interval","Credible support set",0.0390222516378896,0.000672503099938129,0.0483788356455142,0.000356119057773057,0.0266165408568587,0.000332212060195587,0.152239085392344,0.00276217190053105,15.0887129280681,0.264484970522209,-0.000185726680927445,0.000145068935211859,10,"full"
"ordered_interval","Dilution-prior BMA",0.00735854221132939,0.00292318354817477,0.000429885680145087,0.000219191277661066,0.00042622849947329,0.000218183676155091,NA,NA,5.1,0.971253485622231,0.000861360687100166,0.00053371768030727,10,"full"
"ordered_interval","DPP-prior BMA",0.0146124287721428,0.00582809729163394,0.00170587771469422,0.000873136827008379,0.00168038786673785,0.000869467844198101,NA,NA,5.1,0.971253485622231,0.00177695770387982,0.00111520576194553,10,"full"
"ordered_interval","Fixed hard dictionary",0.0649642934215921,0.00739789565804204,0.0654440952667031,0.00641101073559733,0.0378698343701793,0.00385150206324693,0.005896335659541,0.00267739108968998,12.5334963364135,0.148097930498219,0.000774406575433904,0.000376910657265558,10,"full"
"weak_signal","ASK-PC pooled-pruned 99%",0.0124592950712398,0.0011856470643922,0.00259098894778537,0.000258959983939265,0.00222535855312038,0.000233776576348252,0.001,0,2.76273861882005,0.301131513290741,0.00109271460272808,0.000293160118848049,10,"full"
"weak_signal","ASK-PC pooled union",0.0124592950712398,0.0011856470643922,0.00259098894778537,0.000258959983939265,0.00222535855312038,0.000233776576348252,0.001,0,2.76273861882005,0.301131513290741,0.00109271460272808,0.000293160118848049,10,"full"
"weak_signal","Posterior clustering",0.025564983369168,0.00287614777890358,0.00448661526895102,0.000686134727204683,0.00401954232865956,0.000621742662326746,0.0433301541625048,0.0108104009490063,4.11930622825073,0.297713809207692,0.000943786333267749,0.000218606358032936,10,"full"
"weak_signal","Top-M support atoms",0.0467062820859212,0.0142989545114718,0.0399598771453182,0.00296549847012676,0.0228423100883313,0.00310493296946012,0.212475755062621,0.0800122682724635,15.9573165058579,4.61621750532774,0.00188548771360111,0.000325284142858055,10,"full"
"weak_signal","Credible support set",0.0413660736570607,0.00024456410571543,0.0516453145547387,0.000378948043580903,0.0283615001749975,0.000168738961404096,0.151015806916732,0.00163958451456279,12.8104829653441,0.619215024057967,0.00222898938017431,0.000407929387372192,10,"full"
"weak_signal","Dilution-prior BMA",0.0112478567489466,0.00323122982211728,0.00246377173383552,0.00088993230286875,0.00214564159472814,0.000762968969054351,NA,NA,28.2,5.55137620575095,0.000195379522149497,0.000121136260760263,10,"full"
"weak_signal","DPP-prior BMA",0.0190767958837464,0.00529161259638846,0.00870379717599663,0.00310328450478534,0.00662377864081114,0.0022851553955585,NA,NA,24.6,4.41512551727959,0.00036478747775437,0.000209038932947631,10,"full"
"weak_signal","Fixed hard dictionary",0.0415679846926677,0.00194515621756778,0.0188806012786688,0.000398036102445439,0.0135919662230633,0.000414958336904463,0.302202371930411,0.0429993193461665,9.86249517610035,0.804518843060702,0.0033376946599998,0.000903803445908128,10,"full"
