"scenario","rho","method","label","tv_mean","tv_se","fkl_mean","fkl_se","rkl_mean","rkl_se","q0_mean","q0_se","expected_code_mean","expected_code_se","code_penalty_mean","code_penalty_se","entropy_penalty_mean","entropy_penalty_se","objective_check_mean","objective_check_se","q_effective_kernels_mean","q_effective_kernels_se","q_kernel95_mean","q_kernel95_se","rmse_gap_mean","rmse_gap_se","logscore_gap_mean","logscore_gap_se","n_kernels_mean","n_kernels_se","active_kernels_001_mean","active_kernels_001_se","objective_mean","objective_se","kkt_residual_mean","kkt_residual_se","runtime_sec_mean","runtime_sec_se","column_iterations_mean","column_iterations_se","retained_q_mass_mean","retained_q_mass_se","n_replications","mode"
"one_representative",0.95,"no_posterior_cluster","No cluster",0.0477953141145447,0.024621545626814,0.020871482943622,0.010767615538266,0.0162806295705723,0.00821888411480991,0.334481118341653,0.332759496413377,4.58377494294276,2.77015845022734,0.0916754988588552,0.0554031690045467,-0.000475747634890651,0.000320196692731025,0.112071234167587,0.0448351161978548,1.78911378520126,0.596726924123958,2.33333333333333,0.881917103688197,-0.000138305910176347,0.000136393892500264,0.000120761330598092,0.000106869129294707,4.66666666666667,2.33333333333333,4.66666666666667,2.33333333333333,0.112071234167587,0.0448351161978548,0.0366689166689241,0.0183345315734395,2.83666666666666,0.724622507087503,7.66666666666667,2.60341655863555,NA,NA,3,"medium"
"weak_signal",0.95,"no_posterior_cluster","No cluster",0.0512535897008026,0.00907766331331217,0.0187808858208817,0.00216770409621765,0.0184882419306354,0.0020465903476405,0.00521048773814554,0.00421048773814554,3.04371971059616,0.320037329662149,0.0608743942119232,0.00640074659324298,-0.00118247891977185,0.000121964797112073,0.0784728011130331,0.00557228091765098,3.31270196411187,0.420129318697504,4,0.577350269189626,0.00315457900407538,0.00264919643959477,-0.00175759216445348,0.00153607247606855,6.66666666666667,1.45296631451356,5.66666666666667,0.881917103688197,0.0784728011130331,0.00557228091765098,0.0557553033185667,0.0187204546411502,2.7,0.603848766938655,6.66666666666667,1.45296631451356,NA,NA,3,"medium"
"one_representative",0.95,"no_residual_cover","No residual",0.0465101344698182,0.0241632405518941,0.0198330456167917,0.00994826636922367,0.0155671006412304,0.00778391642350642,0.335955043747353,0.332026795045499,4.51985584287373,2.77188551367917,0.0903971168574746,0.0554377102735834,-0.000549559702313173,0.000320708988902081,0.109680602771953,0.0457644998326763,1.91637931503238,0.596736845416529,3,1.15470053837925,-0.000117677645395275,0.000115662809322067,8.24491432003249e-05,6.89694119057165e-05,5,2.3094010767585,4.66666666666667,2.33333333333333,0.109680602771953,0.0457644998326763,0.0214424086369542,0.0180474973968065,3.20333333333333,0.65973058474232,8,2.3094010767585,NA,NA,3,"medium"
"weak_signal",0.95,"no_residual_cover","No residual",0.0385859988030525,0.00233847367842037,0.00991658420775809,0.000602767018919787,0.00957763764379827,0.000911452962959789,0.001,0,2.22401604121125,0.0564118864717378,0.044480320824225,0.00112823772943476,-0.00128768399739162,0.000198167914767526,0.0531092210345915,0.0018326336827247,3.76143306249496,0.683411166664089,5,0.577350269189626,0.00179843303422252,0.0032484006823832,-0.00146166971277036,0.00125800860667497,10,1.15470053837925,8.33333333333333,1.33333333333333,0.0531092210345915,0.0018326336827247,0.0198119203259313,0.00687779112802873,4.63000000000001,0.291433239925266,10.6666666666667,0.666666666666667,NA,NA,3,"medium"
"one_representative",0.95,"pooled_candidate_union","Pooled union",0.0624134784361981,0.00540093466512012,0.0264816569315734,0.0022754107298381,0.020940822991515,0.00123110076248275,0.001,0,2.07202046696926,0.553101737996877,0.0414404093393853,0.0110620347599375,-0.0023573326940509,0.000323448714438582,0.0655647335769077,0.00847686569485096,11.8188545862662,4.17353836939492,49.3333333333333,6.33333333333333,-1.2603280286072e-05,0.000129919617332503,4.98070107857185e-05,6.33225991417581e-05,375,0,64.3333333333333,6.43773597194266,0.0655647335769077,0.00847686569485096,0.055477394640941,0.00157955985191519,11.0633333333333,0.172851895499523,0,0,NA,NA,3,"medium"
"weak_signal",0.95,"pooled_candidate_union","Pooled union",0.0368808114662066,0.00327738595738666,0.00913578146595104,0.000449931333356803,0.00856128769012636,0.00018274954730275,0.001,0,2.44003961744396,0.201053135197745,0.0488007923488791,0.0040210627039549,-0.00231983242616388,5.89668893987078e-05,0.0556167413886663,0.0036672200557647,10.2099477467873,0.615609113424813,20.3333333333333,4.91030662088541,0.00258680640479092,0.00333696588395058,-0.00188518188253332,0.00124816974895258,390,5.19615242270663,30.6666666666667,4.66666666666667,0.0556167413886663,0.0036672200557647,0.0535291587587903,0.00316791122346363,10.77,0.54638203972434,0,0,NA,NA,3,"medium"
"one_representative",0.95,"pooled_pruned_99","Pooled-pruned 99%",0.0623753331681342,0.00540168452178129,0.0264423289902385,0.00226251767303275,0.0209143580249857,0.00122383893370626,0.001,8.85247366868827e-20,2.07871857466106,0.552541406098433,0.0415743714932212,0.0110508281219687,-0.00236959461456439,0.000323245798153999,0.0656471058688953,0.00847872494303894,11.962956961536,4.22175557273133,50.3333333333333,6.33333333333333,-1.21470537475243e-05,0.000129700472366138,4.94382377328092e-05,6.31055567818622e-05,246.666666666667,4.33333333333333,65,6.02771377334171,0.0656471058688953,0.00847872494303894,0.0554561830126252,0.001556220770062,6.13333333333333,0.491336047030046,0,0,0.990121165634528,5.85027382534852e-05,3,"medium"
"weak_signal",0.95,"pooled_pruned_99","Pooled-pruned 99%",0.0368539931390581,0.00327302332084248,0.00912582672996343,0.000453117035147423,0.00854963916925798,0.000187083191896613,0.001,0,2.44367665549451,0.202082539180739,0.0488735331098903,0.00404165078361478,-0.00232798570867643,5.66445844490369e-05,0.0556713741311773,0.00368164336149845,10.2907173611189,0.595791998429394,20.3333333333333,4.91030662088541,0.00258392946039983,0.00333430210758831,-0.00188343067491633,0.00124734244189834,194,9.50438495292217,31,4.72581562625261,0.0556713741311773,0.00368164336149845,0.0535903942160214,0.00316323233368572,3.96,0.285131548587666,0,0,0.990069447696344,4.40312062398307e-05,3,"medium"
"one_representative",0.95,"residual_cover_only","Residual only",0.00790215407838183,0.000786455453683498,0.00207848871320873,0.000203750600702092,0.00177661930106151,0.000175464764087251,0.0502896343964607,0.000699313688048888,5.51059150628312,0.00322001884059744,0.110211830125662,6.4400376811951e-05,-0.00039735797696929,1.05149600866021e-06,0.111892960861902,0.000267098449549627,1.48789010969889,0.00156464172535471,2.66666666666667,0.333333333333333,-3.25545009027817e-05,1.44494291477382e-05,-2.37415517192474e-05,2.13744483323742e-05,3,0,3,0,0.111892960861902,0.000267098449549627,0.0559710734045603,0.000419573755399716,0.263333333333331,0.0233333333333328,2,0,NA,NA,3,"medium"
"weak_signal",0.95,"residual_cover_only","Residual only",0.0621783878831425,0.00531491046615666,0.0187034308439089,0.00191930415108794,0.0163352078041136,0.00194064476639617,0.001,0,3.61553942705765,0.614876361059159,0.0723107885411531,0.0122975272211832,-0.00111351549648395,3.42206239915265e-05,0.089900703888578,0.0107411760787621,3.04859526352622,0.103570284081432,6,1,0.0075473066307629,0.000956182873107911,-0.00425825812741643,0.00104565428703696,10,2,9,2,0.089900703888578,0.0107411760787621,0.00892114627964757,0.00101862026123845,0.903333333333345,0.0409606857581524,9.33333333333333,1.66666666666667,NA,NA,3,"medium"
"one_representative",0.95,"topM_support_atoms","Top-$M$ atoms",0.0412515327584833,0.00822416095443591,0.0940954242161683,0.0154307998020838,0.0353666931931499,0.00779745517751031,0.0385710113384161,0.00908908089334611,9.831322154702,0.264637103599231,0.19662644309404,0.00529274207198462,-0.00219883763989509,0.000149472713026441,0.288523029670313,0.0204449974169315,9.2079608638157,1.27163286771764,17,1.52752523165195,-0.00034608796733974,0.000203883241836633,8.8357681072108e-05,0.00015639636101608,33,0,NA,NA,0.288523029670313,0.0204449974169315,0.00734568738319856,0.00153806993108452,0.166666666666668,0.00333333333333393,0,0,NA,NA,3,"medium"
"weak_signal",0.95,"topM_support_atoms","Top-$M$ atoms",0.134979657185975,0.0227713564353727,0.193425398879876,0.0141771588834676,0.104979104882296,0.0147260299323237,0.125932405344626,0.023363804337756,11.5161428155683,1.68182331291874,0.230322856311367,0.0336364662583747,-0.00294670900532562,0.000118340076704649,0.420801546185917,0.0465394889012129,19.3045177747476,2.19217952216328,25.6666666666667,1.76383420737639,0.0118846429247826,0.00196222680745799,-0.00557117558089981,0.00136065587326515,33,0,NA,NA,0.420801546185917,0.0465394889012129,0.00318734036385523,0.000593007820810916,0.163333333333327,0.0033333333333303,0,0,NA,NA,3,"medium"
