"scenario","rho","replication_id","method","method_family","tuning","beta","tau","epsilon0","qmax","q0_constraint_active","stage","tv","fkl","rkl","mean_h_error","q0","cexp","clist","klist","keff","active_nonfallback","n_kernels","objective","kkt_residual","optimizer_status","optimizer_iterations","objective_change","min_alpha_empirical","floor_q_mass","floor_active_q_mass","delta_a","active_floored_kernels","max_active_reciprocal_uncertainty","final_mass_mode","runtime_sec"
"multi_representative",0.7,1,"Hamming balls","same-target credible region","top centers, r=0:5",0.02,0.001,0.001,1,FALSE,"fit",0.021454147514303,0.00806864182545074,0.00468929404424523,7.7715611723761e-16,0.00144702988100614,5.43146973918323,145.532651370508,22,4.89214995042193,22,31,0.11467407591469,0.12208899564723,"max_iter_reached",120,0.000148945199399397,0.0232222222222222,0,0,0,0,-Inf,"unfloored empirical",0.170000000000073
"multi_representative",0.7,1,"Group-Hamming balls","same-target credible region","top group centers, r=0:3",0.02,0.001,0.001,1,FALSE,"fit",0.0173028770981432,0.00208824721043653,0.00181061643760919,4.44089209850063e-16,0.001,5.21045303892303,122.302410336825,20,7.64821419801609,20,21,0.103909406354,0.0810752611059673,"max_iter_reached",120,0.000138682354878225,0.792833333333333,0,0,0,0,-Inf,"unfloored empirical",0.139999999999986
"multi_representative",0.7,2,"Hamming balls","same-target credible region","top centers, r=0:5",0.02,0.001,0.001,1,FALSE,"fit",0.0346626872264655,0.0189884646011535,0.0107917425862972,1.33226762955019e-15,0.00907221405842308,5.89187084539244,124.687289819984,19,4.98319518887701,19,31,0.134893886579403,0.112217446558318,"max_iter_reached",120,8.01525990088425e-05,0.0162222222222222,0,0,0,0,-Inf,"unfloored empirical",0.269999999999982
"multi_representative",0.7,2,"Group-Hamming balls","same-target credible region","top group centers, r=0:3",0.02,0.001,0.001,1,FALSE,"fit",0.0176145350534463,0.00261183999298594,0.00209383690441229,1.55431223447522e-15,0.001,5.17798530894528,114.687289819984,19,4.7830461414476,19,21,0.104148151089686,0.0863035435984471,"max_iter_reached",120,0.000147822682581122,0.0725000000000002,0,0,0,0,-Inf,"unfloored empirical",0.189999999999941
"multi_representative",0.7,3,"Hamming balls","same-target credible region","top centers, r=0:5",0.02,0.001,0.001,1,FALSE,"fit",0.0193493432467926,0.00667323817024304,0.00412404573421102,0,0.001,5.34177861602327,133.302410336825,20,4.81614818651749,20,31,0.111549646811386,0.117734105264327,"max_iter_reached",120,0.00015000870103217,0.0313888888888889,0,0,0,0,-Inf,"unfloored empirical",0.25
"multi_representative",0.7,3,"Group-Hamming balls","same-target credible region","top group centers, r=0:3",0.02,0.001,0.001,1,FALSE,"fit",0.0190046408322221,0.00340849803510958,0.00239211528902494,1.11022302462516e-16,0.001,5.19150972955918,114.687289819984,19,5.38558115285466,19,21,0.105090011619486,0.0829533229331236,"max_iter_reached",120,0.000164707069799749,0.125111111111111,0,0,0,0,-Inf,"unfloored empirical",0.17999999999995
"multi_representative",0.9,1,"Hamming balls","same-target credible region","top centers, r=0:5",0.02,0.001,0.001,1,FALSE,"fit",0.0211796351208278,0.0028712121184177,0.00252533801518463,1.4432899320127e-15,0.001,5.15840572599938,155.147771887349,23,6.17398003044518,23,31,0.103816766709864,0.123962350889056,"max_iter_reached",120,0.000171623672016993,0.0137777777777778,0,0,0,0,-Inf,"unfloored empirical",0.110000000000014
"multi_representative",0.9,1,"Group-Hamming balls","same-target credible region","top group centers, r=0:3",0.02,0.001,0.001,1,FALSE,"fit",0.0160266686201856,0.00163133173351504,0.00149395838442354,1.55431223447522e-15,0.001,5.20380386735218,122.302410336825,20,8.44956357659616,20,21,0.103253129053639,0.0773262078768002,"max_iter_reached",120,0.000131588825764778,0.851611111111111,0,0,0,0,-Inf,"unfloored empirical",0.139999999999986
"multi_representative",0.9,2,"Hamming balls","same-target credible region","top centers, r=0:5",0.02,0.001,0.001,1,FALSE,"fit",0.0431264862350426,0.0445892223404427,0.0236764703882505,2.66453525910038e-15,0.104997897497671,6.87188967868447,98.2268077526189,15,2.83980409983025,15,31,0.180363764216234,0.113962987772142,"max_iter_reached",120,7.81766362955016e-05,0.0231111111111111,0,0,0,0,-Inf,"unfloored empirical",0.439999999999941
"multi_representative",0.9,2,"Group-Hamming balls","same-target credible region","top group centers, r=0:3",0.02,0.001,0.001,1,FALSE,"fit",0.0337564546551193,0.0289461757218893,0.0144887389794957,3.44169137633799e-15,0.0264906200223314,5.5166014275173,88.2268077526189,15,2.5546259433949,15,21,0.137857514596934,0.0847590102171489,"max_iter_reached",120,6.84235864947536e-05,0.0817222222222224,0,0,0,0,-Inf,"unfloored empirical",0.389999999999986
"multi_representative",0.9,3,"Hamming balls","same-target credible region","top centers, r=0:5",0.02,0.001,0.001,1,FALSE,"fit",0.032091554807182,0.0125306088790741,0.0078032327572013,1.55431223447522e-15,0.00236054368145763,5.73903369605213,131.302410336825,20,6.48536542078728,20,31,0.125076681618067,0.123917315191574,"max_iter_reached",120,9.44936322472834e-05,0.0146111111111111,0,0,0,0,-Inf,"unfloored empirical",0.169999999999959
"multi_representative",0.9,3,"Group-Hamming balls","same-target credible region","top group centers, r=0:3",0.02,0.001,0.001,1,FALSE,"fit",0.0180014067736843,0.00272316881593835,0.0020217945779967,8.88178419700125e-16,0.001,5.22104392015109,122.302410336825,20,6.96387507602929,20,21,0.104817613982366,0.0717998318692123,"max_iter_reached",120,0.00013750005652674,0.129555555555556,0,0,0,0,-Inf,"unfloored empirical",0.129999999999995
"noisy_grouping",0.7,1,"Hamming balls","same-target credible region","top centers, r=0:5",0.02,0.001,0.001,1,FALSE,"fit",0.0161003594771331,0.00186712863474679,0.00165729466651123,5.32907051820075e-15,0.001,5.12632816939871,158.147771887349,23,6.64686588639024,23,31,0.102140858608998,0.118596674157497,"max_iter_reached",120,0.000166492114750838,0.00922222222222222,0,0,0,0,-Inf,"unfloored empirical",0.139999999999986
"noisy_grouping",0.7,1,"Group-Hamming balls","same-target credible region","top group centers, r=0:3",0.02,0.001,0.001,1,FALSE,"fit",0.0170417159283492,0.00227957932766136,0.00194915771153743,5.21804821573824e-15,0.001,5.01219775078576,108.072169303143,18,4.06762795219962,18,21,0.100678523539512,0.077214883696254,"max_iter_reached",120,0.000134952668038937,0.0366666666666667,0,0,0,0,-Inf,"unfloored empirical",0.0900000000000318
